it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Mileage,Engine,Max Power,Torque,Seats,Wheel Size,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Seating Capacity,Steering Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Ground Clearance Unladen,Seating Capacity,Steering Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Alloy Wheel Size,City
0,Petrol,Hatchback,"40,000",Manual,2,2nd Owner,Maruti,Maruti Wagon R,2015,4310,VXI BS IV,₹ 3.85 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2015,Third Party insurance,Petrol,5 Seats,"40,000 Kms",,Second Owner,998 cc,Manual,2015.0,20.51 kmpl,998 CC,67.04bhp,90Nm,5,,Others,K10B Petrol Engine,998,67.04bhp@6200rpm,90Nm@3500rpm,3.0,4.0,DOHC,,69 x 72 mm,,No,No,,,,,,3599mm,1495mm,1700mm,2400mm,1295mm,1290mm,885kg,1350kg,,,,,,,5 Speed,FWD,5,Power,4.6 metres,Ventilated Disc,Drum,152 kmph,18.6 Seconds,Tubeless Tyres,5,180-liters,,Bangalore
0,Petrol,Hatchback,"40,623",Manual,1,1st Owner,Maruti,Maruti Baleno,2016,3969,1.2 Zeta,₹ 6.75 Lakh,₹ 6.88 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2016,Comprehensive,Petrol,5 Seats,"40,623 Kms",KA05,First Owner,1197 cc,Manual,2016.0,21.4 kmpl,1197 CC,83.1bhp,115Nm,5,16,Blue,VVT Petrol Engine,1197,83.1bhp@6000rpm,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,,,,,,3995mm,1745mm,1510mm,2520mm,1505mm,1515mm,880kg,1340kg,,,,,,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,180 Kmph,12.36 seconds,"Tubeless,Radial",5,339-litres,16,Bangalore
0,Diesel,Sedan,"18,000",Automatic,2,2nd Owner,Mercedes-Benz,Mercedes-Benz C-Class,2018,6030,C 220d Avantgarde Edition C,₹ 33 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2018,Third Party insurance,Diesel,5 Seats,"18,000 Kms",,Second Owner,2143 cc,Automatic,2018.0,19.27 kmpl,2143 CC,167.62bhp,400Nm,5,17,Red,In-Line Engine,2143,167.62bhp@3000Ã¢??4200rpm,400Nm@1400-2800rpm,4.0,4.0,DOHC,CRDi,,,Yes,No,,,,,,4686mm,2020mm,1442mm,2840mm,1588mm,1588 mm,1655kg,2135kg,,,,,,,9 Speed,RWD,5,Power,5.61 metres,Disc,Disc,233 Kmph,7.4 Seconds,"Tubeless, Radial",4,480-litres,17,Bangalore
0,Petrol,Hatchback,"88,051",Manual,1,1st Owner,Maruti,Maruti Swift,2014,10403,VXI,₹ 4.99 Lakh,₹ 5.15 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Mar 2014,Third Party insurance,Petrol,5 Seats,"88,051 Kms",KA02,First Owner,1197 cc,Manual,2014.0,22.38 kmpl,1197 CC,88.50bhp,113Nm,5,,Red,K Series Dual jet,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,,,,,,,,3845mm,1735,1530,2450,1530,1530,875-905,1335,,,,,,,5-Speed,,5,Electric,4.8,Disc,Drum,,,"Radial, Tubeless",5,268,,Bangalore
0,Petrol,Hatchback,"16,522",Manual,1,1st Owner,Maruti,Maruti Swift,2022,10403,VXI,₹ 7.74 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Apr 2022,Third Party,Petrol,5 Seats,"16,522 Kms",KA52,First Owner,1197 cc,Manual,2022.0,22.38 kmpl,1197 CC,88.50bhp,113Nm,5,,Others,K Series Dual jet,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,,,,,,,,3845mm,1735,1530,2450,1530,1530,875-905,1335,,,,,,,5-Speed,,5,Electric,4.8,Disc,Drum,,,"Radial, Tubeless",5,268,,Bangalore
0,Diesel,SUV,"70,000",Manual,2,2nd Owner,Jeep,Jeep Compass,2019,5930,2.0 Limited 4X4,₹ 14.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2019,Third Party insurance,Diesel,5 Seats,"70,000 Kms",KA03,Second Owner,1956 cc,Manual,2019.0,16.3 kmpl,1956 CC,170bhp,350Nm,5,17,Others,2.0-Litre 4-Cyl Multijet II Engine,1956,170bhp@3750rpm,350Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,,,,,,4395mm,1818mm,1640mm,2636mm,,,1641 kgs,,,,,,,,6 Speed,4X4,5,Power,,Disc,Discs,,10.03 Seconds,"Radial, Tubless",5,408-litres,17,Bangalore
0,Petrol,Hatchback,"80,000",Manual,3,3rd Owner,Maruti,Maruti Wagon R,2008,4339,LXI Minor,₹ 2.40 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2008,Third Party insurance,Petrol,5 Seats,"80,000 Kms",,Third Owner,1061 cc,Manual,2008.0,18.9 kmpl,1061 CC,67bhp,84Nm,5,13,Others,FC Petrol Engine,1061,67bhp@6200rpm,84Nm@3500rpm,3.0,4.0,,MPFI,,,No,No,,,,,,3595mm,1475mm,1700mm,2400mm,1295mm,1290mm,870kg,1350kg,,,,,,,5 Speed,FWD,5,Power,4.6metres,Ventilated Disc,Drum,,,"Tubeless, Radial",4,,13,Bangalore
0,Diesel,SUV,"50,000",Manual,1,1st Owner,Hyundai,Hyundai Venue,2019,6947,SX Diesel BSIV,₹ 10.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2019,Third Party insurance,Diesel,5 Seats,"50,000 Kms",,First Owner,1396 cc,Manual,2019.0,23.7 kmpl,1396 CC,88.76bhp,219.6Nm,5,16,Others,,1396,88.76bhp@4000rpm,219.6Nm@1500-2750rpm,4.0,4.0,,CRDi,,,No,,,,,,,3995 mm,1770 mm,1605 mm,2500 mm,,,1220,,190mm,,,,,,6-Speed,FWD,5,Power,,Disc,Drum,,,Radial,5,350 L,16,Bangalore
0,Petrol,SUV,"10,000",Manual,1,1st Owner,Tata,Tata Nexon,2023,9645,XZ Plus LUXS DT BSVI,₹ 14 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2023,Third Party insurance,Petrol,5 Seats,"10,000 Kms",KA51,First Owner,1199 cc,Manual,2023.0,17.33 kmpl,1199 CC,118.35bhp,170Nm,5,16,Others,1.2l Turbocharged Revotron Engine,1199,118.35bhp@5500rpm,170Nm@1750-4000rpm,3.0,4.0,,,,,NO,,,,,,,3993,1811,1606,2498,,,1300,,,,,,,,6 Speed,,5,Electric,5.1,Disc,Drum,,,"Tubeless,Radial",5,350,16,Bangalore
0,Petrol,Hatchback,"57,000",Manual,2,2nd Owner,Hyundai,Hyundai EON,2013,1504,D Lite Plus,₹ 2.85 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Mar 2013,Third Party insurance,Petrol,5 Seats,"57,000 Kms",KA03,Second Owner,814 cc,Manual,2013.0,21.1 kmpl,814 CC,55.2bhp,74.5Nm,5,,Silver,Petrol Engine,814,55.2bhp@5500rpm,74.5Nm@4000rpm,3.0,3.0,SOHC,MPFI,,,No,No,,,,,,3495mm,1550mm,1500mm,2380mm,1386mm,1368mm,860,,,,,,,,5 Speed,FWD,5,Power,4.6 metres,Disc,Drum,135 Kmph,19 Seconds,Tubeless,5,215-litres,,Bangalore
0,Diesel,SUV,"1,10,000",Manual,1,1st Owner,Mahindra,Mahindra XUV500,2016,3801,W6 2WD,₹ 10 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2016,Third Party insurance,Diesel,7 Seats,"1,10,000 Kms",,First Owner,2179 cc,Manual,2016.0,16 kmpl,2179 CC,140bhp,330Nm,7,,Others,mHawk Diesel Engine,2179,140bhp@3750rpm,330Nm@1600-2800rpm,4.0,4.0,DOHC,Direct Injection,,,Yes,No,,,,,,4585mm,1890mm,1785mm,2700mm,,,1840,2510kg,,,,,,,6 Speed ,FWD,7,Power,5.6 metres,Disc,Disc,185 Kmph,10 Seconds,Tubeless Tyres,5,720-litres,,Bangalore
0,Petrol,Hatchback,"10,000",Manual,1,1st Owner,Maruti,Maruti Baleno,2019,3969,1.2 Zeta,₹ 7.80 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2019,Third Party insurance,Petrol,5 Seats,"10,000 Kms",KA05,First Owner,1197 cc,Manual,2019.0,21.4 kmpl,1197 CC,83.1bhp,115Nm,5,16,Red,VVT Petrol Engine,1197,83.1bhp@6000rpm,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,,,,,,3995mm,1745mm,1510mm,2520mm,1505mm,1515mm,880kg,1340kg,,,,,,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,180 Kmph,12.36 seconds,"Tubeless,Radial",5,339-litres,16,Bangalore
0,Petrol,Hatchback,"50,000",Manual,2,2nd Owner,Maruti,Maruti Swift,2012,4202,VXI,₹ 4.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2012,Third Party insurance,Petrol,5 Seats,"50,000 Kms",KA19,Second Owner,1197 cc,Manual,2012.0,18.6 kmpl,1197 CC,85.8bhp,114Nm,5,14,Others,K Series Petrol Engine,1197,85.8bhp@6000rpm,114Nm@4000rpm,4.0,4.0,DOHC,MPFI,73 X 71.5 mm,10.0:1,No,No,,,,,,3850mm,1695mm,1530mm,2430mm,1485mm,1495mm,970kg,1415kg,,,,,,,5 Speed,FWD,5,Power,4.8 metres,Ventilated Disc,Drum,160km/hr,12.29 Seconds,"Tubeless,Radial",5,232-litres,14,Bangalore
0,Diesel,SUV,"1,20,000",Manual,1,1st Owner,Mahindra,Mahindra XUV300,2019,6796,W4 Diesel BSIV,₹ 7.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2019,Third Party insurance,Diesel,5 Seats,"1,20,000 Kms",KA41,First Owner,1497 cc,Manual,2019.0,20 kmpl,1497 CC,115bhp,300Nm,5,,Red,1.5 Diesel Engine,1497,115bhp@3750rpm,300Nm@1500-2500rpm,4.0,4.0,DOHC,CRDi,,,Yes,,,,,,,3995 mm,1821 mm,1627 mm,2600 mm,,,1275,,,,,,,,6 Speed,FWD,5,Power,5.3 m,Disc,Disc,175 kmph,,"Tubeless,Radial",5,259 Litres,,Bangalore
0,Petrol,Hatchback,"35,469",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2014,1552,Magna,₹ 5.55 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jan 2015,Comprehensive,Petrol,5 Seats,"35,469 Kms",KA01,First Owner,1197 cc,Manual,2014.0,18.9 kmpl,1197 CC,82bhp,114Nm,5,,Grey, Kappa VTVT Petrol Engine,1197,82bhp@6000rpm,114Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,,,,,,3765mm,1660mm,1520mm,2425mm,1479mm,1493mm,935kg,,,,,,,,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,165 Kmph,12.9 Seconds,Tubeless,5,256-liters,,Bangalore
0,Petrol,Hatchback,"40,073",Manual,2,2nd Owner,Honda,Honda Jazz,2017,1339,1.2 V i VTEC,₹ 6.07 Lakh,₹ 6.92 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jan 2017,Third Party insurance,Petrol,5 Seats,"40,073 Kms",KA03,Second Owner,1199 cc,Manual,2017.0,18.7 kmpl,1199 CC,88.7bhp,110Nm,5,15,Others,i-VTEC Petrol Engine,1199,88.7bhp@6000rpm,110Nm@4800rpm,4.0,4.0,SOHC,PGM - Fi,,,No,No,,,,,,3955mm,1694mm,1544mm,2530mm,,,1044kg,,,,,,,,5 Speed,FWD,5,Power,5.1 meters,Disc,Drum,172 Kmph,13.7 Seconds,"Tubeless,Radial",5,354-litres,15,Bangalore
0,Petrol,Hatchback,"65,730",Manual,2,2nd Owner,Hyundai,Hyundai Grand i10,2017,5605,1.2 Kappa Sportz Option,₹ 5.14 Lakh,₹ 5.45 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Dec 2017,Third Party insurance,Petrol,5 Seats,"65,730 Kms",KA06,Second Owner,1197 cc,Manual,2017.0,18.9 kmpl,1197 CC,81.86bhp,113.75nm,5,,Red,Kappa VTVT Petrol Engine,1197,81.86bhp@6000rpm,113.75nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,,,,,,3765mm,1660mm,1520mm,2425mm,1479mm,1493mm,1160,,,,,,,,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,165 Kmph,12.9 Seconds,Tubeless,5,256-liters,,Bangalore
0,Petrol,Sedan,"1,20,000",Manual,2,2nd Owner,Maruti,Maruti Baleno,2005,3972,LXI,₹ 2.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2005,Third Party insurance,Petrol,5 Seats,"1,20,000 Kms",KA22,Second Owner,1590 cc,Manual,2005.0,15.4 kmpl,1590 CC,94 PS ,130 Nm ,5,13,Silver,In-Line Engine,1590,94 PS @ 5500 rpm ,130 Nm @ 3000 rpm ,4.0,4.0,SOHC,Multi point Fuel Injection,75 x 90 mm,9:01,No,No,,,,,,4225mm,1690mm,1390mm,,1440mm,1435mm,985kg,1510kg,,,,,,,5 Speed,FWD,5,Power,4.9 m,Ventilated Disc,Drum,178 kmph,12.8  seconds,"Tubeless, Radial",4,,13,Bangalore
0,Petrol,Hatchback,"36,184",Manual,2,2nd Owner,Maruti,Maruti Baleno,2016,3969,1.2 Zeta,₹ 7.05 Lakh,₹ 7.14 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Apr 2016,Third Party,Petrol,5 Seats,"36,184 Kms",KA53,Second Owner,1197 cc,Manual,2016.0,21.4 kmpl,1197 CC,83.1bhp,115Nm,5,16,Silver,VVT Petrol Engine,1197,83.1bhp@6000rpm,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,,,,,,3995mm,1745mm,1510mm,2520mm,1505mm,1515mm,880kg,1340kg,,,,,,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,180 Kmph,12.36 seconds,"Tubeless,Radial",5,339-litres,16,Bangalore
0,Petrol,Hatchback,"69,310",Manual,1,1st Owner,Maruti,Maruti Baleno,2016,3969,1.2 Zeta,₹ 6.53 Lakh,₹ 7.14 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2016,Comprehensive,Petrol,5 Seats,"69,310 Kms",KA05,First Owner,1197 cc,Manual,2016.0,21.4 kmpl,1197 CC,83.1bhp,115Nm,5,16,White,VVT Petrol Engine,1197,83.1bhp@6000rpm,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,,,,,,3995mm,1745mm,1510mm,2520mm,1505mm,1515mm,880kg,1340kg,,,,,,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,180 Kmph,12.36 seconds,"Tubeless,Radial",5,339-litres,16,Bangalore
0,Petrol,Sedan,"55,643",Automatic,1,1st Owner,Honda,Honda City,2015,1285,i VTEC CVT VX,₹ 8.72 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Sept 2015,Third Party insurance,Petrol,5 Seats,"55,643 Kms",KA02,First Owner,1497 cc,Automatic,2015.0,18 kmpl,1497 CC,117.3bhp,145Nm,5,15,White,i VTEC Engine,1497,117.3bhp@6600rpm,145Nm@4600rpm,4.0,4.0,SOHC,PGM-Fi,73.0 X 89.4 mm,10.3:1,No,No,,,,,,4440mm,1695mm,1495mm,2600mm,1480mm,1465mm,1085kg,,,,,,,,5 Speed CVT,FWD,5,Power,5.3 metres,Disc,Drum,195 Kmph,10 Seconds,"Tubeless,Radial",4,510-litres,15,Bangalore
0,Petrol,Hatchback,"62,803",Automatic,2,2nd Owner,Hyundai,Hyundai Grand i10,2017,5606,1.2 Kappa Sportz Option AT,₹ 5.64 Lakh,₹ 5.69 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jul 2017,Third Party insurance,Petrol,5 Seats,"62,803 Kms",KA05,Second Owner,1197 cc,Automatic,2017.0,18.9 kmpl,1197 CC,81.86bhp,113.75nm,5,14,Red,Kappa VTVT Petrol Engine,1197,81.86bhp@6000rpm,113.75nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,,,,,,3765mm,1660mm,1520mm,2425mm,1479mm,1493mm,1200,,,,,,,,4 Speed,FWD,5,Power,4.8 metres,Disc,Drum,165 Kmph,12.9 Seconds,Tubeless,5,256,14,Bangalore
0,Diesel,Hatchback,"90,000",Manual,2,2nd Owner,Volkswagen,Volkswagen Polo,2011,1953,Diesel Comfortline 1.2L,₹ 3.70 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2011,Third Party insurance,Diesel,5 Seats,"90,000 Kms",KA14,Second Owner,1199 cc,Manual,2011.0,22.07 kmpl,1199 CC,73.9bhp,180Nm,5,15,Others,In-Line Diesel Engine,1199,73.9bhp@4200rpm,180Nm@2000rpm,3.0,4.0,,CRDI,,,No,No,,,,,,3970mm,1682mm,1453mm,2456mm,,,1125kg,,,,,,,,5 Speed,FWD,5,Power,4.97 metres,Disc,Drum,164.1km/hr,14.4 Seconds,"Tubeless,Radial",5,,15,Bangalore
0,Petrol,Hatchback,"68,656",Manual,1,1st Owner,Maruti,Maruti Swift,2015,10403,VXI,₹ 5.50 Lakh,₹ 5.61 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Sept 2015,Third Party insurance,Petrol,5 Seats,"68,656 Kms",KA53,First Owner,1197 cc,Manual,2015.0,22.38 kmpl,1197 CC,88.50bhp,113Nm,5,,Silver,K Series Dual jet,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,,,,,,,,3845mm,1735,1530,2450,1530,1530,875-905,1335,,,,,,,5-Speed,,5,Electric,4.8,Disc,Drum,,,"Radial, Tubeless",5,268,,Bangalore
0,Petrol,Hatchback,"77,501",Manual,3,3rd Owner,Honda,Honda Jazz,2016,1339,1.2 V i VTEC,₹ 5.17 Lakh,₹ 5.66 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Apr 2016,Comprehensive,Petrol,5 Seats,"77,501 Kms",KA02,Third Owner,1199 cc,Manual,2016.0,18.7 kmpl,1199 CC,88.7bhp,110Nm,5,15,Brown,i-VTEC Petrol Engine,1199,88.7bhp@6000rpm,110Nm@4800rpm,4.0,4.0,SOHC,PGM - Fi,,,No,No,,,,,,3955mm,1694mm,1544mm,2530mm,,,1044kg,,,,,,,,5 Speed,FWD,5,Power,5.1 meters,Disc,Drum,172 Kmph,13.7 Seconds,"Tubeless,Radial",5,354-litres,15,Bangalore
0,Petrol,Sedan,"40,000",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,2016,4218,LXI Optional-O,₹ 6.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2016,Third Party insurance,Petrol,5 Seats,"40,000 Kms",KA03,First Owner,1197 cc,Manual,2016.0,20.85 kmpl,1197 CC,83.14bhp,115Nm,5,,Others,K Series VVT Engine,1197,83.14bhp@6000rpm,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,73 X 71.5 mm,11.0:1,No,No,,,,,,3995mm,1695mm,1555mm,2430mm,1485mm,1495mm,940kg,1415kg,,,,,,,5 Speed,FWD,5,Power,4.8 metres,Ventilated Disc,Drum,158 Kmph,12.6 Seconds,"Tubeless,Radial",4,320-liters,,Bangalore
0,Petrol,Sedan,"40,000",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,2016,4218,LXI Optional-O,₹ 6.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2016,Third Party insurance,Petrol,5 Seats,"40,000 Kms",KA03,First Owner,1197 cc,Manual,2016.0,20.85 kmpl,1197 CC,83.14bhp,115Nm,5,,Others,K Series VVT Engine,1197,83.14bhp@6000rpm,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,73 X 71.5 mm,11.0:1,No,No,,,,,,3995mm,1695mm,1555mm,2430mm,1485mm,1495mm,940kg,1415kg,,,,,,,5 Speed,FWD,5,Power,4.8 metres,Ventilated Disc,Drum,158 Kmph,12.6 Seconds,"Tubeless,Radial",4,320-liters,,Bangalore
0,Petrol,Sedan,"48,325",Automatic,1,1st Owner,Honda,Honda City,2014,1276,i VTEC CVT SV,₹ 7.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Aug 2014,Third Party insurance,Petrol,5 Seats,"48,325 Kms",KA05,First Owner,1497 cc,Automatic,2014.0,18 kmpl,1497 CC,117.3bhp,145Nm,5,,White,i VTEC Engine,1497,117.3bhp@6600rpm,145Nm@4600rpm,4.0,4.0,SOHC,PGM-Fi,73.0 X 89.4 mm,10.3:1,No,No,,,,,,4440mm,1695mm,1495mm,2600mm,1480mm,1465mm,1065kg,,,,,,,,5 Speed CVT,FWD,5,Power,5.3 metres,Disc,Drum,195 Kmph,10 Seconds,"Tubeless,Radial",4,510-litres,,Bangalore
0,Petrol,SUV,"30,000",Manual,1,1st Owner,Tata,Tata Nexon,2022,8849,XZ Plus HS,₹ 12.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2022,Third Party insurance,Petrol,5 Seats,"30,000 Kms",KA01,First Owner,1199 cc,Manual,2022.0,17.57 kmpl,1199 CC,118.36bhp,170nm,5,16,Others,1.2l Turbocharged Revotron Engine,1199,118.36bhp@5500rpm,170nm@1750-4000rpm,3.0,4.0,,,,,Yes,,,,,,,3993,1811,1606,2498,,,1375,,,,,,,,6-Speed,,5,,5.1,Disc,Drum,,,"Tubeless, Radial",5,350,16,Bangalore
0,Diesel,Hatchback,"1,00,000",Automatic,2,2nd Owner,Mercedes-Benz,Mercedes-Benz B Class,2013,7037,B180 CDI,₹ 13.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Aug 2013,Comprehensive,Diesel,5 Seats,"1,00,000 Kms",KA51,Second Owner,2143 cc,Automatic,2013.0,14.8 kmpl,2143 CC,120.7bhp,200Nm,5,16,White,Blue Efficiency Petrol En,2143,120.7bhp@5000rpm,200Nm@1250-4000rpm,4.0,4.0,,MPFI,,,No,No,,,,,,4359mm,2010mm,1557mm,2699mm,1552mm,1549mm,1425kg,1950kg,,,,,,,7 Speed,FWD,5,Power,5.5 metres,Disc,Disc,190km/hr,10.2 Seconds,"Tubeless,Radial",5,486-litres,16,Bangalore
0,Petrol,Hatchback,"69,000",Manual,1,1st Owner,Maruti,Maruti Swift,2015,6242,VVT VXI,₹ 5.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Feb 2015,Comprehensive,Petrol,5 Seats,"69,000 Kms",KA03,First Owner,1197 cc,Manual,2015.0,22 kmpl,1197 CC,81.80bhp,113Nm,5,,White,VTVT Engine,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,,MPFi,,,No,No,,,,,,3840mm,1735mm,1530mm,2450mm,1530mm,1530mm,860Kgs,1315kgs,,,,,,,5,,5,Power,4.8 Meters,Disc,Drum,,,Tubeless,5,,,Bangalore
0,Diesel,SUV,"1,10,000",Manual,1,1st Owner,Jeep,Jeep Compass,2018,5933,2.0 Sport,₹ 12.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2018,Third Party insurance,Diesel,5 Seats,"1,10,000 Kms",,First Owner,1956 cc,Manual,2018.0,17.1 kmpl,1956 CC,170bhp,350Nm,5,,Others,2.0-Litre 4-Cyl Multijet II Engine,1956,170bhp@3750rpm,350Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,,,,,,4395mm,1818mm,1640mm,2636mm,,,1537 kgs,,,,,,,,6 Speed,4X2,5,power,,Disc,Discs,,,"Radial, Tubless",5,408-litres,,Bangalore
0,Petrol,Sedan,"50,000",Manual,2,2nd Owner,Hyundai,Hyundai Verna,2016,1845,1.6 VTVT SX,₹ 8.68 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2016,Third Party insurance,Petrol,5 Seats,"50,000 Kms",KA53,Second Owner,1591 cc,Manual,2016.0,17.01 kmpl,1591 CC,121.3bhp,154.9Nm,5,16,Others,VTVT Petrol Engine,1591,121.3bhp@6300rpm,154.9Nm@4200rpm,4.0,4.0,DOHC,MPFI,77.0 X 85.44 mm,10.5:1,No,No,,,,,,4375mm,1700mm,1475mm,2570mm,,,1290,,,,,,,,5 Speed,FWD,5,Power,5.2 metres,Disc ,Drum,196 Kmph,10.5 Seconds,Tubeless,4,465-litres,16,Bangalore
0,Diesel,MUV,"60,000",Automatic,1,1st Owner,Kia,Kia Carnival,2020,7340,Premium 8 STR,₹ 30 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2020,Third Party insurance,Diesel,8 Seats,"60,000 Kms",KA01,First Owner,2199 cc,Automatic,2020.0,14.11 kmpl,2199 CC,197.2bhp,440nm,8,R18,White,2.2L VGT Diesel Engine,2199,197.2bhp@3800rpm,440nm@1750-2750rpm,4.0,4.0,DOHC,CRDI,,,Yes,,,,,,,5115,1985,1755,3060,,,2195,2830,,,,,,,8 Speed,2WD,8,Power,,Disc,Disc,,,"Tubeless,Radial",5,540,R18,Bangalore
